,Dates,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW,PX_VOLUME,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,PX_TO_TANG_BV_PER_SH,PX_TO_EBITDA,PX_TO_FREE_CASH_FLOW,next_price,is_up
1982,2775,420.98,430.62,435.4,417.1,32143057,666.9909,24.8205,13.7591,25.6517,84.7496,201.844,416.45,False
1983,2776,438.09,428.3,440.0,424.0,28414523,694.0996,25.8293,14.3183,26.6943,88.1941,210.0476,415.05,False
1984,2777,429.95,436.1,436.57,424.28,21706014,681.2028,25.3494,14.0523,26.1983,86.5554,206.1448,410.85,False
1985,2780,421.26,439.5,452.5,421.0,34833025,667.4346,24.837,13.7683,25.6688,84.8059,201.9783,408.93,False
1986,2781,410.36,420.09,420.09,396.03,30284224,650.1648,24.1944,13.412,25.0046,82.6116,196.7521,460.17,True
1987,2782,417.13,416.45,418.695,410.58,17357722,660.8911,24.5935,13.6333,25.4171,83.9745,199.9981,448.35,True
1988,2783,411.76,415.05,423.0,409.52,19940500,652.383,24.2769,13.4578,25.0899,82.8935,197.4234,492.0,True
1989,2784,408.5,410.85,412.532,401.66,19830351,647.2179,24.0847,13.3512,24.8912,82.2372,195.8603,497.99,True
1990,2787,408.09,408.93,412.45,404.087,26838635,646.5683,24.0605,13.3378,24.8663,82.1546,195.6638,503.5,True
1991,2788,441.61,460.17,462.0,433.01,61188281,699.6766,26.0368,14.4334,26.9087,88.9027,211.7353,540.4,True
1992,2789,486.64,448.35,496.0,443.5,78044024,771.0211,28.6918,15.9051,29.6526,97.9679,233.3255,550.06,True
1993,2790,499.27,492.0,508.611,487.57,62475346,791.0318,29.4364,16.3179,30.4222,100.5105,239.3811,550.06,True
1994,2791,489.61,497.99,502.5,489.06,32911922,775.7267,28.8669,16.0022,29.8335,98.5658,234.7495,581.16,True
1995,2794,521.85,503.5,526.0,501.79,50260304,826.807,30.7677,17.0559,31.798,105.0562,250.2074,602.21,True
1996,2795,555.38,540.4,559.99,526.2,53648494,879.9312,32.7446,18.1518,33.8411,111.8063,266.2838,597.59,True
1997,2796,574.0,550.06,574.0,545.37,48930162,909.4323,33.8424,18.7603,34.9757,115.5548,275.2113,556.44,True
1998,2797,574.0,550.06,574.0,545.37,48930162,909.4323,33.8424,18.7603,34.9757,115.5548,275.2113,590.02,True
