,Dates,PX_OPEN,PX_LAST,PX_LOW,PX_HIGH,PX_VOLUME,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,PX_TO_TANG_BV_PER_SH,PX_TO_EBITDA,PX_TO_FREE_CASH_FLOW
860,860,123.12,123.89,123.1,124.37,10730811,55.5561,7.0572,15.8486,12.069,32.1429,41.0462
861,861,124.05,124.96,123.91,125.19,17504825,56.0359,7.1182,15.9855,12.1732,32.4205,41.4007
862,862,124.35,126.54,124.35,126.73,15925900,56.7444,7.2082,16.1876,12.3271,32.8305,41.9241
863,863,126.6,125.84,125.15,126.6,17804286,56.4305,7.1683,16.098,12.2589,32.6489,41.6922
864,864,125.6,126.12,125.1,126.22,14200636,56.5561,7.1843,16.1339,12.286200000000001,32.7215,41.785
865,865,126.38,126.17,125.6,126.63,13536125,56.5785,7.1871,16.1403,12.2911,32.7345,41.8016
866,866,126.85,126.51,126,126.86,12118773,56.7309,7.2065,16.1837,12.3242,32.8227,41.9142
867,867,126.67,129.73,126.47,129.94,26278407,58.1749,7.3899,16.5957,12.6379,33.6581,42.981
868,868,130.04,131.05,129.95,131.98,27990796,58.7668,7.4651,16.764499999999998,12.7665,34.0006,43.4184
869,869,130.92,130.27,129.81,131.08,15676595,58.417,7.4207,16.6647,12.6905,33.7982,43.1599
870,870,129.71,127.1,127.1,129.949,27100679,56.9955,7.2401,16.2592,12.3817,32.9758,42.1097
871,871,125.96,128.69,125.75,128.76,21252752,57.7085,7.3307,16.4626,12.5366,33.3883,42.6365
872,872,128.03,127.21,126.66,128.35,18016152,57.0448,7.2463,16.2733,12.3924,33.0043,42.1461
873,873,126.89,127.77,126.89,128.8,15720388,57.296,7.2782,16.3449,12.447,33.1496,42.3317
874,874,127.98,128.35,127.67,129.1,15111838,57.5561,7.3113,16.4191,12.5035,33.3001,42.5238
875,875,128.2,129.07,128.2,129.18,24119174,57.8789,7.3523,16.5112,12.5736,33.4869,42.7624
876,876,129.91,128.65,128.26,129.94,14958794,57.6906,7.3284,16.4575,12.5327,33.3779,42.6232
877,877,128.65,128.64,128.031,129.17,11083808,57.6861,7.3278,16.4562,12.5317,33.3753,42.6199
878,878,129.13,129.94,128.39,130.005,14068336,58.2691,7.4019,16.6225,12.6584,33.7126,43.0506
879,879,130.5,130.08,129.56,130.73,15538307,58.3318,7.4098,16.6404,12.672,33.7489,43.097
880,880,127.56,127.96,127.3,128.6,28326266,57.3812,7.2891,16.3692,12.4655,33.1989,42.3946
881,881,127.37,127.31,126.8,128.16,15064940,57.0897,7.252,16.2861,12.4021,33.0302,42.1793
882,882,127.61,128.69,127.43,129.01,15637111,57.7085,7.3307,16.4626,12.5366,33.3883,42.6365
883,883,129.21,129.23,128.4,129.47,12047636,57.9507,7.3614,16.5317,12.5892,33.5284,42.8154
884,884,129.18,128.09,127.55,129.29,14532241,57.4395,7.2965,16.3859,12.4781,33.2326,42.4377
885,885,128.03,128.27,127.45,128.59,18402945,45.4858,6.8313,14.8183,11.092,28.8039,36.2361
886,886,128.38,128.77,127.8,129.09,13156943,45.6631,6.8579,14.8761,11.1352,28.9162,36.3773
887,887,129.17,128.19,127.55,129.277,14307548,45.4574,6.827,14.8091,11.0851,28.7859,36.2135
888,888,128.25,128.47,127.83,128.8,12386753,45.5567,6.8419,14.8414,11.1093,28.8488,36.2926
889,889,128.43,128.74,128.08,129.06,11682729,45.6525,6.8563,14.8726,11.1326,28.9094,36.3689
890,890,129.04,128.99,128.33,129.25,12804420,45.7411,6.8696,14.9015,11.1543,28.9656,36.4395
891,891,129.68,130.24,129.2,130.7,15138720,46.1844,6.9362,15.0459,11.2624,29.2463,36.7926
892,892,130.23,128.88,128.23,130.64,17537928,45.7021,6.8638,14.8888,11.1447,28.9409,36.4084
893,893,129.01,129.05,128.46,129.66,11072991,45.7624,6.8728,14.9084,11.1594,28.979,36.4564
894,894,128.21,127.82,126.75,128.25,17139306,45.3262,6.8073,14.7663,11.0531,28.7028,36.109
895,895,128.49,127.88,127.58,128.95,13345292,45.3475,6.8105,14.7732,11.0583,28.7163,36.1259
896,896,128.2,127.54,127.32,128.47,11351681,45.227,6.7924,14.734,11.0289,28.64,36.0299
897,897,128.68,128.57,128.01,129.39,13503967,45.5922,6.8472,14.853,11.1179,28.8713,36.3208
898,898,128.74,130.11,128.6,130.47,16752321,46.1383,6.9293,15.0309,11.2511,29.2171,36.7559
899,899,130.07,130,129.5,130.66,13167503,46.0993,6.9234,15.0182,11.2416,29.1924,36.7248
900,900,129.78,132.07,129.7,132.13,19088794,46.8333,7.0336,15.2573,11.4206,29.6572,37.3096
901,901,132.72,133.28,132.15,133.405,17470227,47.2624,7.0981,15.3971,11.5252,29.9289,37.6514
902,902,133.5,132.29,132.22,133.5,13336787,46.9113,7.0454,15.2827,11.4396,29.7066,37.3717
903,903,131.64,131.04,130.935,132.26,13084731,46.4681,6.9788,15.1383,11.3315,29.4259,37.0186
904,904,131.74,129.69,129.27,131.8,16741393,45.9894,6.9069,14.9823,11.2148,29.1228,36.6372
905,905,130.5,131.29,129.93,132.97,24545547,46.5567,6.9921,15.1672,11.3531,29.482,37.0892
906,906,132.01,130.99,130.884,132.12,15668982,46.4504,6.9761,15.1325,11.3272,29.4147,37.0045
907,907,131.41,129.5,128.65,131.94,22077779,45.922,6.8968,14.9604,11.1984,29.0801,36.5836
908,908,130.23,127.17,126.28,130.23,50190225,45.0957,6.7727,14.6912,10.9969,28.5569,35.9253
909,909,122,120,119.5,123.28,63766259,42.5532,6.3908,13.8629,10.3769,26.9468,33.8998
910,910,119.59,120.75,119.25,121.93,30545466,42.8191,6.4308,13.9496,10.4417,27.1152,34.1117
911,911,122.83,122.15,121.35,123.209,23008880,43.3156,6.5053,14.1113,10.5628,27.4296,34.5072
